PRICE,FLOOR,BEDROOM,BATHROOM,ROAD,LAND,AGE,Cities,LAND_squared
3.8,3,6,4,20,3.0,9,3,9.0
3.5,2,12,4,11,6.0,12,3,36.0
3.75,2,6,5,13,4.0,12,3,16.0
4.25,3,8,5,13,4.2,2,4,17.64
3.45,2,5,4,13,4.1,2,4,16.81
2.65,3,5,5,13,3.0,5,4,9.0
3.15,3,5,4,13,3.1,8,4,9.610000000000001
3.75,2,5,4,13,3.3,5,4,10.889999999999999
2.7,2,4,4,15,3.2,9,4,10.240000000000002
3.9,2,5,4,13,5.2,9,3,27.040000000000003
4.0,2,6,4,4,6.0,8,3,36.0
3.5,5,17,12,13,3.0,5,3,9.0
3.5,2,5,3,13,3.2,7,3,10.240000000000002
5.86,3,4,5,20,4.1,5,4,16.81
4.5,2,5,2,26,9.0,5,0,81.0
5.5,3,8,7,13,5.2,8,3,27.040000000000003
5.1,2,5,5,12,4.2,11,3,17.64
2.6,2,5,2,10,3.2,2,3,10.240000000000002
2.7,2,5,3,13,3.0,9,3,9.0
1.2,1,3,2,13,3.2,7,3,10.240000000000002
3.85,3,7,5,18,5.2,5,4,27.040000000000003
5.2,2,4,5,12,4.3,5,3,18.49
2.6,2,2,3,13,4.1,8,4,16.81
2.4,3,5,4,13,2.3,11,4,5.289999999999999
3.1,3,5,3,13,3.2,16,4,10.240000000000002
2.55,2,6,3,13,3.0,15,4,9.0
2.85,2,4,3,12,3.2,9,4,10.240000000000002
5.15,2,4,4,20,7.0,9,4,49.0
2.2,2,5,5,16,3.0,11,4,9.0
2.7,2,7,3,13,3.3,11,3,10.889999999999999
2.95,2,6,5,13,3.2,7,3,10.240000000000002
2.8,2,6,3,13,3.0,5,3,9.0
5.75,2,4,3,15,9.1,5,3,82.80999999999999
